"votes","reviewID","reviewDate","courseID","instructorID","semester","inMajorMinor","whyTake","primaryComponent","tags","rating","difficulty","value","hours","again","instructorEffectiveness","instructorEnthusiasm","instructorAccommodationLevel","instructorEnjoyed","instructorAgain","wasAuthorized","content"
3,"5cede120-8865-40eb-b20a-1815dd9eaa5a","2022-12-28 02:16:11.988+00","MATH0118","C3177E57E2B4E380E08925E92F272599","F22","neither","Specific interest","{Projects}","{""Chill and Relaxed"",""Project Exams""}",8,2,7,1,True,10,10,10,True,True,0,"Prof Malcolm-White is wonderful. Approachable and easygoing. I took this course because I wanted to learn a bit of R. I have no CS background and found the material very accessible. At times, I felt like the course was narrow and too focused on data visualization . I enjoyed the course but would have appreciated more data science topics and challenging R scripts."
3,"465f82cd-ccc0-4439-9fc7-2acbbc93bbd5","2023-01-20 13:41:48.382+00","ECON0229","7D4C6B2D9F24BDB5809D5947FC7338BC","F22","major","Elective for Major/Minor","{Readings,Lectures,Papers}","{""Chill and Relaxed"",""Constant Reading"",""Easy Exams""}",10,4,8,10,True,9,10,10,True,True,1,"In Econ Hist, Gregg is a phenomenal professor teaching a fantastic course. The course lectures are clear and well-connected to the readings. Along with publishing lecture slides on Canvas, Gregg provides supplementary Panopto videos for both review and further exploration into certain topics. Surfacing this course are historical facts, such as the technologies of the British Industrial Revolution (e.g. steam engine, spinning jenny) and periods of Japan (e.g. Tokugawa, Meiji). Underlying this are widely generlizable takeaways about institutions, marketplaces, and how economies develop. I often rely on information taught in this course during my current J-Term class. The grading distribution is as follows: problem sets (20%), which usually take 1-2 hours to complete and are very easy; essays (25%), which require a strong foundational understanding of certain readings and adherence to a set rubric; exams (45%), which includes an in-person short-response style exam and an asynchronous long-response question... on the easier side if you pay attention. The remaining 10% is attendance and weekly reading responses. My 10hrs/wk was definitely overkill. Overall, I absolutely loved this class and think it (and Gregg) are among the strongest in the econ department! "
3,"7cd057fb-e17b-403a-8a32-91fa16d6abb7","2022-12-18 21:32:13.937+00","MATH0223","D3CD48D2B8CAD51ACB0F48C000189315","F21","major","Required for Major/Minor","{Lectures,Homework,Exams}","{""Lots of Homework"",""Fair Grading""}",7,6,7,10,True,8,7,8,True,True,1,"Professor Olinick does a good job of thoroughly explaining things but lectures can sometimes be boring. He grades homework kind of based on vibes so you get a score for each homework from the grader and then at the end of the semester your final grade is mostly based on your exams and he'll give you the benefit of the doubt and bump up your grade a bit if you’ve consistently done the homework. Exams are all fair and if the class as a whole does poorly he will take that into account in calculating your final grade. There are 3 problem sets every week, which is a lot, but it does make sure that you're staying on track."
3,"e49d6b17-083c-4022-88c3-e76866b50313","2022-11-14 08:22:50.083+00","MATH0200","775EF6B5D466E85B040334FBC42FF7AC","F21","minor","Required for Major/Minor","{Exams}","{Fast-Paced,""Fair Grading"",""Difficult Exams""}",6,7,6,8,True,6,9,7,True,True,0,"The material is pretty hard. He gives you problem sets that you don't have to ever turn in, but do them because the exams are modeled very closely after the problem sets. Important class for math minors/majors. Personally, I took it because it'll help with CS classes like Machine Learning, etc. The grading is based off of 3 exams and a cumulative (kinda) final, which covers the topics towards the back-end of the class in specifics and basic stuff from the whole semester. He claims the average  grade for this class is a B. His grading is fair, though there is virtually no curve. I have taken two more classes with him after that and have had similar experiences. Solid professor."
3,"e14841bb-4e14-4b1a-8193-a3a7432ff6ba","2022-11-08 15:09:31.648+00","PHYS0155","F16ADCB6066D31DAF05DD3D79133CD18","F22","neither","Someone recommended it","{Exams,Homework}","{""Chill and Relaxed"",""Lots of Homework"",""Easy Exams""}",7,4,7,3,False,8,10,8,True,False,1,"Professor Glikman is very enthusiastic about this class. The class is 100% lecture, with no discussion. She spends most of the class writing on the board, but we do occasional practice problems in the tutorials book. This class is pretty easy, and is definitely intended for freshmen/sophomores. As an upperclassman, this class was an easy somewhat-interesting class. "
3,"576ada13-1e01-4e7f-8e24-c0bb63ee618a","2022-10-28 04:03:09.396+00","ECON0211","3DAE4B8382EE810A238661903DCDA2B7","S21","major","Required for Major/Minor","{Lab/Fieldwork,Homework,Lectures}","{Slow-Paced,""Lots of Homework"",""Fair Grading""}",6,5,5,6,True,8,8,10,True,True,1,"Byker is great.  Regression has a bad reputation but honestly it wasn't bad at all.  A little math-heavy at the beginning of the course but Byker does a great job and is super understanding of all students.  She tries hard to keep the course interesting and relevant, and that shows.  She regularly brings in examples of real research and how it is being conducted which is really neat.  Exams are not too bad (except the in class Stata one, which was way too long for the time we had), and the research paper is a big endeavor at the end of the course.  Definitely take it though!  Could not recommend Byker more."
3,"f5d071e1-45c0-458c-90b0-71a64f254e98","2022-11-07 05:10:58.073+00","ECON0210","82F8CEF2E6C8AC1F50A1662258396EBE","S21","neither","Other","{Projects,Homework}","{""Chill and Relaxed"",Ungrading,""No Exams""}",8,4,7,4,True,7,7,5,True,True,1,"This was a fun introduction to using R and STATA for doing stats in Economics. It was low-effort, so renumbering it to ECON 0111 was probably fair. Gong does not offer exams at all. You earn full credit for submitting homework, fixing what went wrong, and resubmitting it. Then you do a final project, and you get B+. If the project is good, A-; if the project is great, A. Help was readily available, though some tasks can be confusing at times. Overall a solid preparation for your stats skills."
3,"ff62084f-a66f-4c2e-b305-ac9bc91139c8","2022-11-14 15:56:38.731+00","AMST0216","BAC5FFA7864D7D99323624DECFE0E5BF","F22","neither","Specific interest","{Papers,Lectures,Discussions}","{""Chill and Relaxed"",""Constant Reading"",""Easy Grading""}",7,5,7,3,True,9,8,9,True,True,1,"Morse is the best. She's super knowledgable and incredibly accommodating for her students. Most due dates are flexible. Three 3-5 page papers were the big assignments. We also had 3/4 1-question open book quizzes. Sometimes a lot of reading, but you only really need to do it for discussion. We also watched 4-5 western movies."
3,"c68c3c35-17a4-4537-b709-98a8ccfac556","2023-04-12 19:19:38.233+00","MATH0200","57BA30C8994F105D7527A84FBA23A906","S22","minor","Elective for Major/Minor","{Exams,Homework}","{""Lots of Homework"",""Chill and Relaxed"",""Easy Grading""}",7,4,6,4,True,8,8,8,True,True,1,"I really liked the teaching style that Bremser used. We spent most of class going over our homework assignments in groups, with some of the more challenging problems being done for us on the board. I felt that this really allowed me to understand what we were doing more than if it was a lecture based class. Homework was graded on completion/effort and all the exams were take home which allowed for a lower stress experience than some of my friends had. "
3,"de806042-6fd5-44fe-8231-80b472577ca8","2023-04-21 14:06:19.296+00","ECON0234","E663FBC963E64FE586F1815E5EE3E69D","S23","major","Elective for Major/Minor","{Exams,Projects,Readings}","{""Constant Reading"",""Tough Grading"",""Difficult Exams""}",5,6,7,5,True,5,10,7,False,False,1,"Professor Porteous is very knowledgable on the topic, and I really enjoyed all the readings he chose for us. I was always excited for lectures. With that being said, Professor Porteous' teaching style may not be a good fit for everyone. He is VERY particular in his grading. Often times I found myself needing to memorize arguments and recite them on the exam. This would be ok if there was a text book or notes written by him. However this is not the case as it is your responsibility to take comprehensive notes in class.  Not only must you memorize, you need to somehow figure out what you need to memorize. Fascinating class thought by an expert, but not to be counted on as an easy A."
